horizon,history_length,min_support,n_eval,top1_accuracy,top3_accuracy,macro_f1,avg_support,median_support,exact_sequence_rate,markov_fallback_rate,prior_fallback_rate,split
1,4,5,1146,0.7661431064572426,0.9205933682373473,0.7261801576715836,278.0732984293194,155.0,0.8926701570680629,0.10732984293193717,0.0,val
1,4,10,1146,0.7670157068062827,0.9232111692844677,0.7269723659406591,310.7216404886562,157.0,0.8455497382198953,0.1544502617801047,0.0,val
1,6,1,1144,0.7526223776223776,0.8907342657342657,0.7127890302445976,189.08653846153845,31.0,0.8513986013986014,0.1486013986013986,0.0,val
1,6,3,1144,0.763986013986014,0.9117132867132867,0.7230101630029351,268.7255244755245,49.0,0.743006993006993,0.256993006993007,0.0,val
1,6,5,1144,0.7683566433566433,0.9230769230769231,0.728446742762836,314.72115384615387,203.0,0.6818181818181818,0.3181818181818182,0.0,val
1,6,10,1144,0.7666083916083916,0.9230769230769231,0.726375369414664,386.2674825174825,257.0,0.590034965034965,0.40996503496503495,0.0,val
3,1,1,1147,0.45335658238884047,0.7811682650392328,0.3784259207404125,809.8666085440279,663.0,1.0,0.0,0.0,val
3,1,3,1147,0.45335658238884047,0.7811682650392328,0.3784259207404125,809.8666085440279,663.0,1.0,0.0,0.0,val
3,1,5,1147,0.45335658238884047,0.7811682650392328,0.3784259207404125,809.8666085440279,663.0,1.0,0.0,0.0,val
3,1,10,1147,0.45335658238884047,0.7811682650392328,0.3784259207404125,809.8666085440279,663.0,1.0,0.0,0.0,val
3,2,1,1146,0.47731239092495636,0.7984293193717278,0.4002148492234567,506.41535776614313,530.0,0.9991273996509599,0.0008726003490401396,0.0,val
3,2,3,1146,0.4781849912739965,0.800174520069808,0.4006069579890513,507.67102966841185,530.0,0.9965095986038395,0.0034904013961605585,0.0,val
3,2,5,1146,0.4781849912739965,0.800174520069808,0.4006069579890513,508.739092495637,530.0,0.9956369982547993,0.004363001745200698,0.0,val
3,2,10,1146,0.4790575916230366,0.8010471204188482,0.4016621416739641,511.6666666666667,530.0,0.9921465968586387,0.007853403141361256,0.0,val
3,3,1,1145,0.4960698689956332,0.8069868995633188,0.4035671828831865,327.14759825327513,237.0,0.9895196506550218,0.010480349344978166,0.0,val
3,3,3,1145,0.4943231441048035,0.8139737991266376,0.40151566714805564,341.16157205240177,237.0,0.9694323144104804,0.03056768558951965,0.0,val
3,3,5,1145,0.49344978165938863,0.8139737991266376,0.4011153752990735,346.3703056768559,245.0,0.9624454148471616,0.03755458515283843,0.0,val
3,3,10,1145,0.4890829694323144,0.8104803493449781,0.40653066477848626,362.54497816593886,245.0,0.9344978165938864,0.06550218340611354,0.0,val
3,4,1,1144,0.5104895104895105,0.7972027972027972,0.42065195371139347,234.5,59.0,0.9562937062937062,0.043706293706293704,0.0,val
3,4,3,1144,0.5061188811188811,0.8085664335664335,0.4165678166334147,261.59965034965035,72.0,0.916083916083916,0.08391608391608392,0.0,val
3,4,5,1144,0.5017482517482518,0.8085664335664335,0.4116391462657043,277.9195804195804,155.0,0.8933566433566433,0.10664335664335664,0.0,val
3,4,10,1144,0.4973776223776224,0.8094405594405595,0.41465337180737094,312.3208041958042,157.0,0.8435314685314685,0.15646853146853146,0.0,val
3,6,1,1142,0.4903677758318739,0.7618213660245184,0.3923681298214684,188.77145359019264,31.0,0.852014010507881,0.14798598949211908,0.0,val
3,6,3,1142,0.4964973730297723,0.7907180385288967,0.4098260166818089,268.5148861646235,49.0,0.7434325744308231,0.2565674255691769,0.0,val
3,6,5,1142,0.5,0.8012259194395797,0.4176909459670912,314.5490367775832,203.0,0.6821366024518388,0.3178633975481611,0.0,val
3,6,10,1142,0.4964973730297723,0.7985989492119089,0.4152956114790328,386.17425569176885,257.0,0.5901926444833625,0.4098073555166375,0.0,val
6,1,1,1144,0.36013986013986016,0.6861888111888111,0.2093875521165049,810.25,662.0,1.0,0.0,0.0,val
6,1,3,1144,0.36013986013986016,0.6861888111888111,0.2093875521165049,810.25,662.0,1.0,0.0,0.0,val
6,1,5,1144,0.36013986013986016,0.6861888111888111,0.2093875521165049,810.25,662.0,1.0,0.0,0.0,val
6,1,10,1144,0.36013986013986016,0.6861888111888111,0.2093875521165049,810.25,662.0,1.0,0.0,0.0,val
6,2,1,1143,0.35345581802274717,0.6955380577427821,0.23929795236819654,506.93788276465443,530.0,0.9991251093613298,0.0008748906386701663,0.0,val
6,2,3,1143,0.35345581802274717,0.6972878390201225,0.23931312610897765,508.1968503937008,530.0,0.9965004374453194,0.003499562554680665,0.0,val
6,2,5,1143,0.3543307086614173,0.6972878390201225,0.23973460343634245,509.26771653543307,530.0,0.9956255468066492,0.004374453193350831,0.0,val
6,2,10,1143,0.3543307086614173,0.6964129483814523,0.23852128201936829,512.2003499562554,530.0,0.9921259842519685,0.007874015748031496,0.0,val
6,3,1,1142,0.35288966725043786,0.6751313485113836,0.24189300050432916,327.4395796847636,237.0,0.989492119089317,0.010507880910683012,0.0,val
6,3,3,1142,0.35989492119089317,0.6821366024518388,0.24537812925793986,341.4877408056042,237.0,0.9693520140105079,0.03064798598949212,0.0,val
6,3,5,1142,0.3607705779334501,0.6830122591943958,0.24485666677596182,346.7057793345009,243.0,0.9623467600700525,0.03765323992994746,0.0,val
6,3,10,1142,0.36252189141856395,0.681260945709282,0.23861321235470975,362.91155866900175,243.0,0.9343257443082311,0.06567425569176882,0.0,val
