design,horizon,config_id,cutoff,mae,rmse,smape,nmae,nrmse,baseline_mae,skill_vs_persistence
lstm_compressed_lstm,6,lstmenc_c12_k16_seq12_u48_huber,2024-04-23 00:00:00+00:00,0.2762004375457764,0.3459110586919577,15.053286895685222,0.484562171132941,0.6068615064771187,0.5933333333333334,0.5344936453703314
lstm_compressed_lstm,6,lstmenc_c12_k16_seq12_u48_huber,2025-11-18 00:00:00+00:00,0.6083363143603008,0.7763789422783978,36.12333115825864,0.26681417296504417,0.34051707994666564,1.26,0.5171934016845285
lstm_compressed_lstm,12,lstmenc_c12_k16_seq12_u48_huber,2021-03-02 00:00:00+00:00,0.45795537749926246,0.5234009920749704,32.83309190298237,0.30328170695315393,0.346623173559583,0.22999999999999995,-0.9911103282963141
lstm_compressed_lstm,12,lstmenc_c12_k16_seq12_u48_huber,2022-09-27 00:00:00+00:00,0.663523839712143,0.9004386081397033,43.38803809894229,0.19515407050357145,0.26483488474697153,0.63,-0.05321244231576294
lstm_compressed_lstm,12,lstmenc_c12_k16_seq12_u48_huber,2024-04-23 00:00:00+00:00,0.3459930408000946,0.49029423321857096,17.33773758512611,0.2035253181177027,0.28840837248151235,0.6941666666666667,0.5015706502256924
lstm_compressed_lstm,12,lstmenc_c12_k16_seq12_u48_huber,2025-11-18 00:00:00+00:00,1.3957342155774433,1.805531757737379,57.24797194099863,0.2932214738608074,0.3793133944826426,1.335,-0.04549379365689088
pca_compressed_lstm,1,pca_c12_k16_seq12_u48_huber,2021-03-02 00:00:00+00:00,0.6784644794464112,0.6784644794464112,55.12530481736273,,,0.1399999999999999,-3.84617481857312
pca_compressed_lstm,1,pca_c12_k16_seq12_u48_huber,2022-09-27 00:00:00+00:00,0.3198954343795777,0.3198954343795777,37.19940503185002,,,0.3800000000000001,0.15816991174276984
pca_compressed_lstm,1,pca_c12_k16_seq12_u48_huber,2024-04-23 00:00:00+00:00,0.5202293968200684,0.5202293968200684,28.903474924791766,,,0.08000000000000007,-5.502867378965007
pca_compressed_lstm,1,pca_c12_k16_seq12_u48_huber,2025-11-18 00:00:00+00:00,0.06296806335449223,0.06296806335449223,4.9639157036193495,,,1.57,0.9598929533029393
pca_compressed_lstm,3,pca_c12_k16_seq12_u48_huber,2021-03-02 00:00:00+00:00,0.6169041109085084,0.6313052663802163,43.47526937987325,2.2848300404018826,2.33816765326006,0.10666666666666669,-4.783475985547177
pca_compressed_lstm,3,pca_c12_k16_seq12_u48_huber,2022-09-27 00:00:00+00:00,0.289641523361206,0.31374282868622333,28.37822938338452,0.7241038084030148,0.784357071715558,0.20666666666666667,-0.4014912352889426
pca_compressed_lstm,3,pca_c12_k16_seq12_u48_huber,2024-04-23 00:00:00+00:00,0.14862382888793943,0.2175442397779329,7.930963207685518,0.3715595722198485,0.5438605994448321,0.8000000000000002,0.8142202141223005
pca_compressed_lstm,3,pca_c12_k16_seq12_u48_huber,2025-11-18 00:00:00+00:00,0.2789863999684652,0.3065434922830167,25.573482978962115,0.35767487175444257,0.3930044772859188,1.0966666666666667,0.7456051066437049
pca_compressed_lstm,6,pca_c8_k12_seq8_u32_huber,2021-03-02 00:00:00+00:00,0.4752618583043417,0.496010317370646,31.82186056341451,1.4851933072010686,1.5500322417832695,0.12166666666666663,-2.9062618169705208
pca_compressed_lstm,6,pca_c8_k12_seq8_u32_huber,2022-09-27 00:00:00+00:00,0.26482190370559694,0.3242055999797202,23.611027428573383,0.28784989533217054,0.3523973912823045,0.37166666666666665,0.2874747004670718
pca_compressed_lstm,6,pca_c8_k12_seq8_u32_huber,2024-04-23 00:00:00+00:00,0.21712720712025957,0.24363481534287046,12.408948114995543,0.38092492477238515,0.42742950060152707,0.5933333333333334,0.6340552695151997
pca_compressed_lstm,6,pca_c8_k12_seq8_u32_huber,2025-11-18 00:00:00+00:00,0.6050520785649618,0.7563116020155646,35.715848687019914,0.26537371866884285,0.3317156149191072,1.26,0.519799938027967
pca_compressed_lstm,12,pca_c12_k16_seq12_u48_huber,2021-03-02 00:00:00+00:00,0.689222718278567,0.7577076402465398,54.00995349675834,0.4564388862771966,0.501793139236119,0.22999999999999995,-1.9966205012258547
pca_compressed_lstm,12,pca_c12_k16_seq12_u48_huber,2022-09-27 00:00:00+00:00,0.6184126802285513,0.9096769073397968,39.93250129198398,0.18188608242016213,0.2675520315705284,0.63,0.018392572623898484
pca_compressed_lstm,12,pca_c12_k16_seq12_u48_huber,2024-04-23 00:00:00+00:00,0.4462380333741505,0.543628469291469,23.727037663464348,0.26249296080832385,0.31978145252439355,0.6941666666666667,0.35716009690567496
pca_compressed_lstm,12,pca_c12_k16_seq12_u48_huber,2025-11-18 00:00:00+00:00,1.5390181817611055,1.9157505572188747,69.51389574307947,0.32332314742880364,0.40246860445774674,1.335,-0.15282260719721563
raw_lstm,1,raw_direct_lb24_u32_huber,2021-03-02 00:00:00+00:00,0.49493979930877696,0.49493979930877696,37.423707723509374,,,0.1399999999999999,-2.5352842555249504
raw_lstm,1,raw_direct_lb24_u32_huber,2022-09-27 00:00:00+00:00,0.7814116168022156,0.7814116168022156,71.64274828129008,,,0.3800000000000001,-1.056346354594392
raw_lstm,1,raw_direct_lb24_u32_huber,2024-04-23 00:00:00+00:00,0.3019904537498952,0.3019904537498952,15.81926132408433,,,0.08000000000000007,-2.774880624687679
raw_lstm,1,raw_direct_lb24_u32_huber,2025-11-18 00:00:00+00:00,0.16407014131546016,0.16407014131546016,11.871633708786918,,,1.57,0.8954967253433396
raw_lstm,3,raw_direct_lb48_u64_huber,2021-03-02 00:00:00+00:00,0.6875273060798647,0.6920396289321644,49.79165887525722,2.5463974299254244,2.563109736785794,0.10666666666666669,-5.445568434071526
raw_lstm,3,raw_direct_lb48_u64_huber,2022-09-27 00:00:00+00:00,0.5066371853649617,0.5577225698895454,43.6611681505862,1.2665929634124038,1.394306424723863,0.20666666666666667,-1.451470239903991
raw_lstm,3,raw_direct_lb48_u64_huber,2024-04-23 00:00:00+00:00,0.11004777078827217,0.1327428906451353,5.800512422126448,0.2751194269706803,0.3318572266128382,0.8000000000000002,0.8624402866866094
raw_lstm,3,raw_direct_lb48_u64_huber,2025-11-18 00:00:00+00:00,0.4817288597424825,0.5497637732191845,38.129129147783175,0.6176011022339518,0.7048253502810057,1.0966666666666667,0.5607335629453958
raw_lstm,6,raw_direct_lb24_u32_huber,2021-03-02 00:00:00+00:00,0.5602158468961717,0.6010947198046063,39.29732538648997,1.7506745215505373,1.8784209993893954,0.12166666666666663,-3.604513772260203
raw_lstm,6,raw_direct_lb24_u32_huber,2022-09-27 00:00:00+00:00,0.37191981993615625,0.40651626892546244,31.308364349388413,0.40426067384364806,0.44186550970158955,0.37166666666666665,-0.0006811271806506092
raw_lstm,6,raw_direct_lb24_u32_huber,2024-04-23 00:00:00+00:00,0.4037988811979691,0.5083135552970013,25.267546070821712,0.7084190898209983,0.8917781671877214,0.5933333333333334,0.3194400890156025
raw_lstm,6,raw_direct_lb24_u32_huber,2025-11-18 00:00:00+00:00,0.5924697321653366,0.7924200722453026,35.26499005528951,0.2598551456865511,0.34755266326548356,1.26,0.5297859272260932
raw_lstm,12,raw_direct_lb24_u32_huber,2021-03-02 00:00:00+00:00,0.4763572959105174,0.5346452518213554,34.0250133516904,0.3154684078877598,0.3540697031929505,0.22999999999999995,-1.0711186688669514
raw_lstm,12,raw_direct_lb24_u32_huber,2022-09-27 00:00:00+00:00,0.5136954801157118,0.6869541863731622,34.99777660360856,0.1510869059163858,0.20204534893328296,0.63,0.18461035031694906
raw_lstm,12,raw_direct_lb24_u32_huber,2024-04-23 00:00:00+00:00,0.5563601729894677,0.6393654025131537,31.997113401184446,0.32727068999380454,0.37609729559597277,0.6941666666666667,0.19852076035343802
raw_lstm,12,raw_direct_lb24_u32_huber,2025-11-18 00:00:00+00:00,1.2504442970951397,1.685334336996115,49.53464776845672,0.26269838174267635,0.35406183550338544,1.335,0.06333760587379977
