seed,design,horizon_hours,horizon_steps,config_id,split_id,cutoff,elapsed_sec,mae,rmse,smape,nmae,nrmse,nrmse_std,nmse,baseline_mae,skill_vs_persistence
123,token_state_gb,6,72,hgb_balanced,1,2024-01-31 05:00:00,1.61,0.6314479371661675,0.7620740136029774,21.17605093722304,0.20457294255745606,0.2468924423270487,0.9968864690483284,0.9937826321716438,1.4861715555555557,0.575117734974251
123,token_state_gb,6,72,hgb_balanced,2,2024-12-18 05:00:00,1.53,0.9638018289255731,1.2834628423633883,13.775665843400366,0.20816472172450542,0.27720603697354995,1.0647359821750346,1.1336627117382359,2.4150287777777777,0.6009149715336545
42,raw_window_gb,12,144,hgb_balanced,1,2024-01-31 05:00:00,35.37,1.0936206366452952,1.2693718234797664,32.61770753265644,0.23620336532586533,0.27416261773871214,1.1043836985971407,1.2196633537271002,1.3325528611111113,0.17930412538177676
42,raw_window_gb,12,144,hgb_balanced,2,2024-12-18 05:00:00,38.09,1.1237276875911535,1.4092193130467503,21.008879638144762,0.15602526883269727,0.19566468334839587,0.8367904713992593,0.7002182930245947,2.5882963749999996,0.5658427303724071
123,raw_window_gb,12,144,hgb_balanced,1,2024-01-31 05:00:00,31.12,1.0695008027304573,1.2869656972701717,32.13114178707778,0.23099389345702614,0.27796259376253707,1.119690787544518,1.253707459712063,1.3325528611111113,0.1974045959902191
123,raw_window_gb,12,144,hgb_balanced,2,2024-12-18 05:00:00,29.95,1.0434822282116958,1.3488876153491554,19.790850743279343,0.14488349533139463,0.18728785909075144,0.8009656787007127,0.6415460184564933,2.5882963749999996,0.5968459261901404
42,statistical_feature_gb,12,144,hgb_deeper,1,2024-01-31 05:00:00,7.1,1.113072593531798,1.3179848811588224,33.023960007637406,0.24040465554004753,0.2846622073018686,1.146678215811598,1.3148709306168698,1.3325528611111113,0.1647066130131598
42,statistical_feature_gb,12,144,hgb_deeper,2,2024-12-18 05:00:00,6.48,0.9587630911402046,1.2404814060463956,18.137389547142487,0.13312056888327212,0.17223607373708252,0.7365943759906045,0.542571274740988,2.5882963749999996,0.6295775475983572
123,statistical_feature_gb,12,144,hgb_deeper,1,2024-01-31 05:00:00,6.15,1.0299837680663897,1.2295504386425284,31.087463875542248,0.22245888939566894,0.26556187924191044,1.0697381460046382,1.144339701017441,1.3325528611111113,0.22705973072270713
123,statistical_feature_gb,12,144,hgb_deeper,2,2024-12-18 05:00:00,6.38,0.9919051905058976,1.2688941393821036,18.99972851692075,0.13772222195306244,0.17618107251741735,0.7534657772704562,0.5677106775177726,2.5882963749999996,0.6167729477569311
42,pca_embedding_gb,12,144,hgb_fast_shallow,1,2024-01-31 05:00:00,0.96,1.1740905735410954,1.4838247774349629,38.937974313803295,0.25358349630131327,0.3204807903581262,1.2909628727077416,1.6665851387098245,1.3325528611111113,0.11891632450435807
42,pca_embedding_gb,12,144,hgb_fast_shallow,2,2024-12-18 05:00:00,0.94,1.1872298805329913,1.5227059405626349,21.78660521819346,0.16484230416485582,0.21142186523739845,0.9041785121799485,0.8175387818879452,2.5882963749999996,0.5413083711967491
123,pca_embedding_gb,12,144,hgb_fast_shallow,1,2024-01-31 05:00:00,1.03,1.233329436917713,1.5429948881262536,41.83130296467809,0.26637807827862336,0.33326052293052816,1.3424422773100224,1.802151267909319,1.3325528611111113,0.07446115498652905
123,pca_embedding_gb,12,144,hgb_fast_shallow,2,2024-12-18 05:00:00,0.92,1.2211059753399627,1.5778699649865433,22.343816418595257,0.169545869679549,0.21908117793003476,0.9369347549979401,0.8778467351230501,2.5882963749999996,0.5282201889000508
42,token_state_gb,12,144,hgb_deeper,1,2024-01-31 05:00:00,2.82,1.0110565807695389,1.1936047320852128,30.447445148023633,0.21837094044347743,0.2577982210103881,1.038464525760232,1.0784085712624236,1.3325528611111113,0.24126343538239714
42,token_state_gb,12,144,hgb_deeper,2,2024-12-18 05:00:00,3.15,1.250117160113231,1.5261905797484236,23.055136417341433,0.1735739611410198,0.21190569399035292,0.906247681144592,0.82128485957995,2.5882963749999996,0.5170115865768106
123,token_state_gb,12,144,hgb_deeper,1,2024-01-31 05:00:00,3.14,0.9111029849674108,1.1448870358710332,27.93778668033407,0.19678267215941672,0.24727603131212925,0.9960789705297277,0.9921733155315625,1.3325528611111113,0.31627253906911734
123,token_state_gb,12,144,hgb_deeper,2,2024-12-18 05:00:00,2.81,1.2604443394798122,1.5565785209989125,23.142680184357925,0.17500785028938484,0.2161249427952331,0.9242919553384171,0.8543156187033145,2.5882963749999996,0.5130216341655102
