window_id,window_start,window_end,window_rows,time_span_hours,missing_fraction,wind_speed_mean,wind_speed_std,wind_speed_min,wind_speed_max,wind_speed_p10,wind_speed_p90,wind_speed_range,ramp_abs_mean,ramp_abs_max,calm_fraction,strong_fraction,gust_factor,direction_mean_deg,direction_span_deg,direction_abs_change_mean_deg,direction_abs_change_max_deg,direction_net_turn_deg,vector_speed_mean,vector_speed_std,vector_resultant_strength,uv_covariance,u100_mean,u100_std,v100_mean,v100_std,wind_gust_10m_ms_mean,wind_gust_10m_ms_std,hour_sin_mean,hour_sin_std,hour_cos_mean,hour_cos_std,dow_sin_mean,dow_sin_std,dow_cos_mean,dow_cos_std,embedding_00,embedding_01,embedding_02,embedding_03,embedding_04,embedding_05,embedding_06,embedding_07,token_id,token_distance,regime_name
live_KBOS_202606051454_202606051954,2026-06-05T14:54:00+00:00,2026-06-05T19:54:00+00:00,6,5.0,0.1388888888888889,3.601108,2.502687666533454,0.0,8.231104,1.028888,6.173328,8.231104,2.0577759999999996,4.115552,0.16666666666666666,0.0,2.2857142857142856,206.0,320.0,67.49999999999997,179.99999999999997,110.00000000000006,3.9097744000000008,2.635239076161524,0.1995143011857623,-7.879576638961781,0.7458326859056892,2.0494585749118737,-0.2285187585470732,4.173973308344341,,,-0.8341639729248537,0.17844149434748527,-0.3455220308284979,0.3910800756640651,-0.433883739117558,0.0,-0.9009688679024191,0.0,1.1969203753541715,15.743912094074059,-4.387338407883169,-0.7943491065115869,5.508344203596025,2.5101806865146195,-2.939127999825129,-1.500009871171875,6,14.528554310332904,Calm Gusty
live_KBOS_202606051554_202606052054,2026-06-05T15:54:00+00:00,2026-06-05T20:54:00+00:00,6,5.0,0.1388888888888889,4.887218,2.2958654570681327,2.057776,8.231104,2.5722199999999997,7.973882,6.173328,1.543332,4.115552,0.0,0.0,1.6842105263157896,228.0,210.0,54.99999999999997,179.99999999999994,159.99999999999997,5.453106400000001,2.098527995720582,0.22758270660236882,-12.14392775542807,0.21798205406659826,2.4702554761430338,1.2217389332756845,5.147607681647142,,,-0.8951682068889268,0.09837741274975934,-0.11785113019775816,0.41845773639286216,-0.433883739117558,0.0,-0.9009688679024191,0.0,2.094606832066219,13.30756123285231,-4.060055535467862,0.5163263276958177,5.7930002878319815,2.638738210340989,-5.372470859436358,-1.4914892808739317,6,13.7850464016191,Calm Gusty
live_KBOS_202606051654_202606052154,2026-06-05T16:54:00+00:00,2026-06-05T21:54:00+00:00,6,5.0,0.12037037037037036,5.487402666666667,2.2160272026437062,2.057776,8.231104,3.086664,7.973882,6.173328,1.543332,4.115552,0.0,0.0,1.875,186.0,220.0,54.99999999999998,179.99999999999994,139.99999999999997,6.173328000000001,1.7521331279265286,0.49240916915933713,-11.230895096970144,-0.4110957049168844,2.337328585679388,3.0118772374663556,5.1455262125421655,10.28888,0.0,-0.895168206888927,0.09837741274975914,0.11785113019775774,0.4184577363928621,-0.433883739117558,0.0,-0.9009688679024191,0.0,2.296247431291028,11.77818271399617,-3.866657310820638,0.8226455012039637,6.108874986707822,3.0819800608517514,-4.9442532115017945,-1.5752303521417006,6,12.889562450268677,Calm Gusty
live_KBOS_202606051754_202606052254,2026-06-05T17:54:00+00:00,2026-06-05T22:54:00+00:00,6,5.0,0.09259259259259259,5.6588840000000005,1.9701705240904066,3.086664,8.231104,3.601108,7.973882,5.14444,1.8519984,4.115552,0.0,0.0,1.8181818181818181,170.0,230.0,45.999999999999986,179.99999999999994,129.99999999999997,5.6588840000000005,1.970170524090407,0.5378591558126132,-9.3548091756887,-0.34257975409740365,2.139172645855985,3.0243416978886297,4.69728398302326,10.28888,0.0,-0.8341639729248538,0.17844149434748496,0.3455220308284976,0.39108007566406505,-0.433883739117558,0.0,-0.9009688679024191,0.0,2.939397127826586,10.605131462922634,-3.22863034850564,0.42228248689459397,5.926839331530301,2.945397568768055,-4.354513413414615,-1.2705435827510845,2,11.741017534169702,Gusty Moderate
live_KBOS_202606051854_202606052354,2026-06-05T18:54:00+00:00,2026-06-05T23:54:00+00:00,6,5.0,0.09259259259259259,5.487402666666667,2.1349253829292385,3.086664,8.231104,3.086664,7.973882,5.14444,1.8519984,4.115552,0.0,0.0,1.875,126.66666666666667,230.0,45.99999999999999,179.99999999999994,129.99999999999991,5.487402666666667,2.134925382929239,0.7213212079606888,-5.924538202025141,-0.6108070440919363,1.7494949148691612,3.9107675761498872,3.9926900305289608,10.28888,0.0,-0.716312842727096,0.26500800870456725,0.5496461760604291,0.33846085122036546,-0.433883739117558,0.0,-0.9009688679024191,0.0,2.903014456262363,9.885208032007453,-2.3122201787262924,0.4878926404813258,4.9163046900765695,2.497551062211336,-3.037377866127067,-0.9794268470856585,2,9.856696391143766,Gusty Moderate
live_KBOS_202606051954_202606060054,2026-06-05T19:54:00+00:00,2026-06-06T00:54:00+00:00,6,5.0,0.09259259259259259,5.058699333333332,2.579355159337741,1.543332,8.231104,2.314998,7.973882,6.687772000000001,1.3375544000000001,3.601108,0.16666666666666666,0.0,2.033898305084746,80.0,100.0,20.0,49.99999999999999,-100.0,5.058699333333333,2.5793551593377417,0.9168250164462858,-4.614468939440138,-0.592093105064004,1.771448071634763,4.599992681849178,2.755898545745195,10.28888,0.0,-0.5496461760604295,0.3384608512203653,0.7163128427270958,0.2650080087045676,-0.5240577679616022,0.20163525830030976,-0.7878942122447351,0.25284261658296286,3.4555309539707237,6.958887486378857,2.1628159728593244,0.9294893134958816,0.6112077320766568,1.1122665165138121,-0.20939023861374093,-0.04145934450317416,2,4.543704474528046,Gusty Moderate
live_KBOS_202606052054_202606060154,2026-06-05T20:54:00+00:00,2026-06-06T01:54:00+00:00,6,5.0,0.09259259259259259,3.686848666666666,2.7127132879028863,0.0,7.71666,0.771666,7.202216,7.71666,1.543332,3.601108,0.3333333333333333,0.0,2.790697674418605,61.666666666666664,110.0,22.0,49.99999999999999,-110.0,3.686848666666666,2.712713287902887,0.8986413605288461,-3.3020818806269134,-0.12289254342925648,1.4671758368042214,3.310874733562283,2.796795927234032,10.28888,0.0,-0.3455220308284979,0.39108007566406516,0.8341639729248538,0.17844149434748507,-0.6142317968056465,0.25505066913014013,-0.674819556587051,0.31982342318352897,2.4930446239179966,8.599976648124121,3.135686517207022,-0.15966410005468684,0.27646158485078987,0.8073918724387067,1.1327598838872077,-0.08989328122767855,2,6.035434627946054,Gusty Moderate
live_KBOS_202606052154_202606060254,2026-06-05T21:54:00+00:00,2026-06-06T02:54:00+00:00,6,5.0,0.09259259259259259,2.400738666666667,2.2942638765055388,0.0,6.687772,0.0,4.887218,6.687772,1.3375543999999997,3.601108,0.5,0.0,4.285714285714286,43.333333333333336,100.0,20.0,49.99999999999999,-100.0,2.400738666666667,2.2942638765055388,0.8855979618412837,-1.1857011438249965,0.3169829831033193,0.9519907713322306,2.1023266570433186,2.3665694300976927,10.28888,0.0,-0.11785113019775817,0.41845773639286216,0.8951682068889268,0.09837741274975921,-0.7044058256496908,0.27052208653213283,-0.561744900929367,0.3392239669730523,0.19540760383472053,8.297350681563135,3.6998388951067627,-1.3490553055113217,0.3009585332252716,0.4887465422527811,2.7790922992735245,-0.6664630940992307,2,7.161789802412437,Gusty Moderate
live_KBOS_202606052254_202606060354,2026-06-05T22:54:00+00:00,2026-06-06T03:54:00+00:00,6,5.0,0.1111111111111111,1.6290726666666666,1.274626645107587,0.0,3.086664,0.0,3.086664,3.086664,1.0288879999999998,2.057776,0.5,0.0,1.894736842105263,51.666666666666664,150.0,48.0,150.0,60.0,1.6290726666666666,1.274626645107587,0.7337537737586919,0.19875474683092123,0.21352183796231836,1.1250338619544793,1.176113037713658,1.2585770514305434,,,0.11785113019775768,0.41845773639286227,0.8951682068889268,0.09837741274975914,-0.794579854493735,0.2550506691301402,-0.44867024527168287,0.31982342318352897,-3.9620818923700036,6.628614348537764,2.6939627637388415,-1.184916466088784,3.8900096336814713,1.948833354870358,0.648680834411817,-1.5352715552731764,6,5.474358254922906,Calm Gusty
live_KBOS_202606052354_202606060454,2026-06-05T23:54:00+00:00,2026-06-06T04:54:00+00:00,6,5.0,0.1111111111111111,1.1146286666666667,1.2034276041073495,0.0,3.086664,0.0,2.5722199999999997,3.086664,1.4404432,2.057776,0.6666666666666666,0.0,2.769230769230769,36.666666666666664,150.0,72.0,150.0,-60.0,1.1146286666666665,1.2034276041073495,0.6237664148691383,0.308599775239608,0.21352183796231836,1.1250338619544793,0.6616690377136581,0.9703279762960209,,,0.3455220308284976,0.39108007566406533,0.8341639729248538,0.17844149434748507,-0.8847538833377793,0.20163525830030973,-0.33559558961399866,0.2528426165829628,-4.917589532475634,8.950838160713356,0.5553639215151599,-2.3857827214591047,5.511761579254599,3.077922339313487,2.21621410513874,-3.181932074435512,6,8.246332961183324,Calm Gusty
