seed,design,horizon_hours,horizon_steps,config_id,cutoff,mae,rmse,smape,nmae,nrmse,baseline_mae,skill_vs_persistence
123,lstm_compressed_lstm,1,12,lstmenc_c8_k12_seq8_u32_huber,2024-01-31 05:00:00,0.5215040112279256,0.5262123863111476,17.011781365904902,0.5068617878990965,0.5114379663395313,2.1435166666666667,0.7567063419219359
123,lstm_compressed_lstm,1,12,lstmenc_c8_k12_seq8_u32_huber,2024-12-18 05:00:00,4.640689965497335,4.697395604256619,70.6461855793378,2.2551968559733107,2.282753615678587,4.908653166666667,0.054589964500732724
123,lstm_compressed_lstm,3,36,lstmenc_c8_k12_seq8_u32_huber,2024-01-31 05:00:00,0.6979695583309596,0.9062319317314701,24.994124185458,0.2261242423311898,0.2935959118749142,2.072066111111112,0.6631528529657591
123,lstm_compressed_lstm,3,36,lstmenc_c8_k12_seq8_u32_huber,2024-12-18 05:00:00,3.5999569776958884,3.7658835385325102,59.95230351702256,0.8747203237125637,0.9150372874726187,3.529657444444444,-0.019916814404235206
123,lstm_compressed_lstm,6,72,lstmenc_c12_k16_seq12_u48_huber,2024-01-31 05:00:00,0.6908698814334868,0.8826856756963242,23.169553681366494,0.22382412903817417,0.28596752859926583,1.4861715555555557,0.5351345015412015
123,lstm_compressed_lstm,6,72,lstmenc_c12_k16_seq12_u48_huber,2024-12-18 05:00:00,3.4755233327708774,3.6968391004680465,65.69430427405926,0.750653636152359,0.7984540592406661,2.4150287777777777,-0.43912294682045383
123,lstm_compressed_lstm,12,144,lstmenc_c12_k16_seq12_u48_huber,2024-01-31 05:00:00,0.9143805229607689,1.2851143075230107,27.512589288097427,0.19749056434622597,0.2775627252211472,1.3325528611111113,0.31381294584280006
123,lstm_compressed_lstm,12,144,lstmenc_c12_k16_seq12_u48_huber,2024-12-18 05:00:00,2.151796496701029,2.6422990894273215,42.56966067660966,0.2987686701844306,0.36687306926469876,2.5882963749999996,0.1686437006775653
123,pca_compressed_lstm,1,12,pca_c12_k16_seq12_u48_huber,2024-01-31 05:00:00,0.7745546488418579,0.9250302319567499,27.143681355965803,0.7528075444964447,0.8990582375892713,2.1435166666666667,0.6386523788102836
123,pca_compressed_lstm,1,12,pca_c12_k16_seq12_u48_huber,2024-12-18 05:00:00,3.113364971092224,3.1887758454434603,42.30714946884106,1.51297564511017,1.5496224299649042,4.908653166666667,0.3657394676812815
123,pca_compressed_lstm,3,36,pca_c12_k16_seq12_u48_huber,2024-01-31 05:00:00,0.747181869119856,0.8401970160055109,26.641439911155818,0.24206776931984045,0.27220229218519115,2.072066111111112,0.639402495532059
123,pca_compressed_lstm,3,36,pca_c12_k16_seq12_u48_huber,2024-12-18 05:00:00,2.47945298254225,2.6844683798113507,37.32491252931282,0.6024593985308048,0.6522741979232315,3.529657444444444,0.29753721972585234
123,pca_compressed_lstm,6,72,pca_c8_k12_seq8_u32_huber,2024-01-31 05:00:00,0.8109111435890198,1.032060767776685,26.055706114491855,0.2627144203544733,0.3343612287494477,1.4861715555555557,0.45436235809246794
123,pca_compressed_lstm,6,72,pca_c8_k12_seq8_u32_huber,2024-12-18 05:00:00,1.8202779624358283,2.11568849789847,28.926933274704247,0.39314892765260023,0.45695255414874447,2.4150287777777777,0.24627069522664113
123,pca_compressed_lstm,12,144,pca_c12_k16_seq12_u48_huber,2024-01-31 05:00:00,1.1280524730599721,1.292028597864603,33.49196656679862,0.24364005348168163,0.27905609375571877,1.3325528611111113,0.15346512312251326
123,pca_compressed_lstm,12,144,pca_c12_k16_seq12_u48_huber,2024-12-18 05:00:00,1.700850397890303,2.1354563176573276,31.903440776992053,0.2361565381946755,0.29649989915011266,2.5882963749999996,0.3428687635382668
123,raw_lstm,1,12,raw_direct_lb24_u32_huber,2024-01-31 05:00:00,0.5573844295271235,0.7111452991052712,18.36491289686755,0.5417347947756448,0.6911785336258868,2.1435166666666667,0.7399672986290018
123,raw_lstm,1,12,raw_direct_lb24_u32_huber,2024-12-18 05:00:00,0.6439044768430989,0.7935850796633499,7.299562360475749,0.31291281307737046,0.3856518297731872,4.908653166666667,0.8688225762038959
123,raw_lstm,3,36,raw_direct_lb48_u64_huber,2024-01-31 05:00:00,0.7138462820120917,0.9079046743860364,25.545926002937584,0.23126789375587745,0.2941378376091588,2.072066111111112,0.6554905860195774
123,raw_lstm,3,36,raw_direct_lb48_u64_huber,2024-12-18 05:00:00,0.8007803425106912,0.9814850901004714,10.592092941686545,0.19457422540419642,0.23848200438251577,3.529657444444444,0.7731280287427837
123,raw_lstm,6,72,raw_direct_lb24_u32_huber,2024-01-31 05:00:00,0.7382254240844248,0.8961163322184916,24.84556549218921,0.23916611075401303,0.2903187169768046,1.4861715555555557,0.5032703856912843
123,raw_lstm,6,72,raw_direct_lb24_u32_huber,2024-12-18 05:00:00,1.1054605085235107,1.32864717007977,17.113002711467747,0.23876057528419267,0.28696507946870153,2.4150287777777777,0.542257832189075
123,raw_lstm,12,144,raw_direct_lb24_u32_huber,2024-01-31 05:00:00,0.9506552867713373,1.2296988338514774,29.228676747432964,0.20532529332019664,0.265593930070669,1.3325528611111113,0.2865909384898613
123,raw_lstm,12,144,raw_direct_lb24_u32_huber,2024-12-18 05:00:00,1.0034494393812339,1.2256399979555288,18.750549653816577,0.13932509652324143,0.17017540128698289,2.5882963749999996,0.6123127750416346
