window_id,window_start,window_end,window_rows,time_span_hours,embedding_00,embedding_01,embedding_02,embedding_03,embedding_04,embedding_05,embedding_06,embedding_07,token_id,token_distance
window_050388_050435,2024-06-24T04:00:00,2024-06-24T07:55:00,48,3.9166666666666665,-1.4049368890337506,-2.2595929898383718,1.495843761006833,-0.03287030094205849,1.1380057164662625,0.7632486260856542,1.7324057502364203,-0.568198146589413,1,2.1857957318273487
window_050400_050447,2024-06-24T05:00:00,2024-06-24T08:55:00,48,3.9166666666666665,-1.6472810330893861,-2.057747008244653,1.3427942223250924,0.4773587029692959,0.9089116938753683,0.7352143892697396,1.4727932046726033,-0.6367762080169239,1,2.0658453596125663
window_050412_050459,2024-06-24T06:00:00,2024-06-24T09:55:00,48,3.9166666666666665,-1.829750386387579,-1.9021920008614972,0.8866052936840939,1.1117857731925969,0.6932038583395437,0.5959994759581081,0.8995961560609542,-0.816832782790167,1,2.024893485123898
window_050424_050471,2024-06-24T07:00:00,2024-06-24T10:55:00,48,3.9166666666666665,-2.4888279916069265,-2.583939204224905,0.48343220267741444,1.2147791208996153,-0.03696837701590354,0.24709327896780564,0.1792654021914766,-0.7815417089766805,7,1.9284314307261514
window_050436_050483,2024-06-24T08:00:00,2024-06-24T11:55:00,48,3.9166666666666665,-2.551621682058919,-2.846553795944446,-0.08187048792843418,1.5250753541940123,-0.3254619275497643,0.19543460460679632,-0.45339329997005645,-0.8360341019967706,7,2.1397366991650046
window_050448_050495,2024-06-24T09:00:00,2024-06-24T12:55:00,48,3.9166666666666665,-2.4429899355564513,-2.7697959875575604,-0.6206456681698951,1.777034454207641,-0.4960097210221501,0.2733058472555222,-0.9651926202032476,-0.866877495823383,7,2.4026708701842168
window_050460_050507,2024-06-24T10:00:00,2024-06-24T13:55:00,48,3.9166666666666665,-1.6604694646738996,-2.037715382089041,-0.9823571729260964,2.104863333080744,-0.43491068589634824,0.2212026133213724,-1.3410475781557731,-0.9502091352187414,7,2.328702782519262
window_050472_050519,2024-06-24T11:00:00,2024-06-24T14:55:00,48,3.9166666666666665,-0.8568763733905203,-1.7126837419745482,-0.6714891280196028,2.1658999583863117,-0.28764989083943365,0.029905026057792227,-1.1744945141887932,-1.0692414455704562,7,2.107848101822293
window_050484_050531,2024-06-24T12:00:00,2024-06-24T15:55:00,48,3.9166666666666665,-0.2536488050952734,-1.056473854258725,0.09316685522491361,1.224265107633582,-0.4901435029157833,-1.0055134610563983,-1.0164757189456175,-1.1262196950474992,7,2.0632325432247804
window_050496_050543,2024-06-24T13:00:00,2024-06-24T16:55:00,48,3.9166666666666665,0.9222708569937601,-0.3567819166428413,0.7265430748830243,0.8434477930391856,-0.2407350123231888,-1.265770680639659,-0.6045536459851643,-1.3816955484361444,2,2.4264947532417387
window_050508_050555,2024-06-24T14:00:00,2024-06-24T17:55:00,48,3.9166666666666665,1.9953046904438196,0.633143189995064,1.1614547100754469,0.6633657084554172,0.38915127231784685,-1.4114874125405625,-0.2900663946799861,-1.581946272301719,2,2.439056345379009
window_050520_050567,2024-06-24T15:00:00,2024-06-24T18:55:00,48,3.9166666666666665,2.764059434101763,1.2659318437401146,1.4880656961286145,0.2197317722201092,1.0514670669762045,-1.6596246981484368,-0.10797069421584779,-1.8265873500582106,2,3.1283481247443574
window_050532_050579,2024-06-24T16:00:00,2024-06-24T19:55:00,48,3.9166666666666665,2.981850869517962,0.4525403630021313,1.8204196536200965,-0.45771351588347037,0.894363193165587,-1.9541772417184498,0.23211663125308143,-1.7779325025883885,2,2.9419448538734265
window_050544_050591,2024-06-24T17:00:00,2024-06-24T20:55:00,48,3.9166666666666665,3.6962661810606456,-0.7254851144928149,1.6882312881586472,-1.0195101649885034,-0.12725293278828656,-1.7152797228158092,0.3576551068828139,-1.5740843564732672,2,2.724970241373511
window_050556_050603,2024-06-24T18:00:00,2024-06-24T21:55:00,48,3.9166666666666665,5.40492452049693,-0.6656393041738423,1.047471372392349,-0.9551731958766528,-0.769910957067233,-0.7649468870901144,0.10179890291731675,-1.845080270962018,6,3.5086438683445946
window_050568_050615,2024-06-24T19:00:00,2024-06-24T22:55:00,48,3.9166666666666665,6.114307671774915,-0.99947482582209,0.4123710701149369,-0.7595781391908286,-1.644459373179865,0.15901470536792203,0.08740326005580087,-1.9472535074174508,6,2.9385357660020497
window_050580_050627,2024-06-24T20:00:00,2024-06-24T23:55:00,48,3.9166666666666665,6.305561696146384,-2.5673485848135966,-0.03379593899656478,-1.0803574830970673,-3.057764649198409,0.6937158441984418,0.12175589987793953,-1.8187240180768207,6,4.224844493954579
window_050592_050639,2024-06-24T21:00:00,2024-06-25T00:55:00,48,3.9166666666666665,6.048600314404732,-3.6745820829002307,-2.875736487145082,-1.8777918638872135,-4.559827576007435,0.3831552527514949,1.4670917580705252,-1.4837253545767568,6,6.704860422874149
window_050604_050651,2024-06-24T22:00:00,2024-06-25T01:55:00,48,3.9166666666666665,5.513682347364531,-5.572724306774539,-3.540728019361985,-1.7654545164874111,-5.392464707244033,1.5243761780668292,1.8545039284625575,-0.8383322857872638,6,8.682059961454527
window_050616_050663,2024-06-24T23:00:00,2024-06-25T02:55:00,48,3.9166666666666665,5.313687774847836,-5.6162181495494625,-2.90863704963034,-1.7354644445564271,-5.049029257602543,1.7671623826418605,1.9233491830649059,-0.7503780267575884,6,8.361851782069042
window_050628_050675,2024-06-25T00:00:00,2024-06-25T03:55:00,48,3.9166666666666665,5.063140631726947,-5.791959644579711,-0.003485182121519045,-1.2643710400219343,-4.200069288443732,2.443343206304532,0.9245915315630766,-0.8055640985772812,6,7.510779607780483
window_050640_050687,2024-06-25T01:00:00,2024-06-25T04:55:00,48,3.9166666666666665,4.885708688512945,-5.813806496957579,0.5981477879119598,-1.3844807301534936,-3.8226825479510267,2.5619851572001,1.2738021784492484,-0.7546424271650441,6,7.532839260203112
window_050652_050699,2024-06-25T02:00:00,2024-06-25T05:55:00,48,3.9166666666666665,4.686570545088951,-5.830954329847597,1.2113297206845746,-1.480184355862922,-3.426064393738654,2.6379710132084027,1.569868217112326,-0.704351683666575,6,7.621107891166446
window_050664_050711,2024-06-25T03:00:00,2024-06-25T06:55:00,48,3.9166666666666665,4.217820044368875,-5.834763527305138,1.7343535744658338,-1.4071337968455295,-2.7012267430490366,2.455335215174041,1.7606504103950504,-0.617734996918141,2,7.328214354267456
window_050676_050723,2024-06-25T04:00:00,2024-06-25T07:55:00,48,3.9166666666666665,3.7476805959165165,-5.829784519430679,2.0597836239523386,-1.2651182191691346,-2.072454660216894,2.2509550181408047,1.767212325083242,-0.5402287890996678,2,6.9482209346301556
window_050688_050735,2024-06-25T05:00:00,2024-06-25T08:55:00,48,3.9166666666666665,3.2610418145364948,-5.8141578539939145,1.7797867923430735,-0.9111678666574541,-1.6986160727272719,2.0562199217722874,1.303178080945737,-0.48224916239540766,2,6.428210874973103
window_050700_050747,2024-06-25T06:00:00,2024-06-25T09:55:00,48,3.9166666666666665,2.7984136961000967,-5.788138356898367,1.263977886754997,-0.5059809755549961,-1.4640213023502486,1.8554888239307568,0.6604013078117323,-0.43596898407004986,2,5.964066815412926
