design,horizon_hours,horizon_steps,config_id,mae,rmse,n_tuning_splits,config_json,elapsed_sec
raw_window_gb,6,72,hgb_fast_shallow,1.3841601498252152,1.564374408608976,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",20.93
raw_window_gb,6,72,hgb_balanced,1.4267027707032807,1.6078913383847513,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",52.34
raw_window_gb,6,72,hgb_regularized,1.5146008017489079,1.6863243579794762,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",62.44
statistical_feature_gb,6,72,hgb_deeper,1.0549261273383856,1.2511092862127162,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",9.94
statistical_feature_gb,6,72,hgb_regularized,1.1870825093049022,1.3933678964126477,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",8.67
statistical_feature_gb,6,72,hgb_balanced,1.331651739966393,1.5191128656312616,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",5.83
statistical_feature_gb,6,72,hgb_fast_shallow,1.4343213955364402,1.634380912940298,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",2.75
pca_embedding_gb,6,72,hgb_regularized,1.189492857633255,1.3952603078617694,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",4.4
pca_embedding_gb,6,72,hgb_fast_shallow,1.2120749784193916,1.4154544859920861,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",1.6
pca_embedding_gb,6,72,hgb_balanced,1.2743575470065691,1.4847023054922264,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",3.21
pca_embedding_gb,6,72,hgb_deeper,1.3524758499024137,1.567310564856712,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",5.58
token_state_gb,6,72,hgb_fast_shallow,0.7932771703806816,0.9483799201581724,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",1.45
token_state_gb,6,72,hgb_balanced,0.8045269226603569,0.9648565996995441,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",2.9
token_state_gb,6,72,hgb_regularized,0.8309527854739789,0.9894849593779027,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",4.0
token_state_gb,6,72,hgb_deeper,0.8937854125089426,1.0703379024549928,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",5.17
